CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
10140,1/1/22,21,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/2/22,12,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/3/22,18,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/4/22,19,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/5/22,17,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/6/22,15,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/7/22,20,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/8/22,13,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/9/22,16,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/10/22,18,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/11/22,20,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/12/22,25,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/13/22,13,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/14/22,18,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/15/22,19,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/16/22,18,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/17/22,11,Good,PM2.5,1,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/18/22,10,Good,PM2.5,1,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/19/22,16,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/20/22,13,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/21/22,13,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/22/22,14,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/23/22,24,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/24/22,28,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/25/22,28,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/26/22,28,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/27/22,31,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/28/22,34,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/29/22,36,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/30/22,20,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10140,1/31/22,18,Good,PM2.5,2,Aberdeen,WA,Washington,46.9757,-123.8094,16571,588,America/Los_Angeles
10420,1/1/22,31,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/2/22,6,Good,PM2.5,2,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/3/22,15,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/4/22,44,Good,PM2.5,2,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/5/22,30,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/6/22,32,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/7/22,31,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/8/22,40,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/9/22,19,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/10/22,20,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/11/22,30,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/12/22,30,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/13/22,55,Moderate,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/14/22,33,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/15/22,17,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/16/22,33,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/17/22,32,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/18/22,38,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/19/22,35,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/20/22,15,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/21/22,22,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/22/22,72,Moderate,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/23/22,45,Good,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/24/22,38,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/25/22,38,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/26/22,61,Moderate,PM2.5,3,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/27/22,57,Moderate,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/28/22,36,Good,PM2.5,1,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
10420,1/29/22,44,Good,PM2.5,2,Akron,OH,Ohio,41.0798,-81.5219,570375,1230,America/New_York
